taxonKey	canonicalName	kingdomKey	classKey	class	kingdom
3151811	Symphyotrichum salignum	6	220	Magnoliopsida	Plantae
8332019	Hordeum distichon	6	196	Liliopsida	Plantae
2706406	Triticum turgidum	6	196	Liliopsida	Plantae
2705290	Avena sativa	6	196	Liliopsida	Plantae
2702816	Echinochloa muricata	6	196	Liliopsida	Plantae
2974822	Vicia melanops	6	220	Magnoliopsida	Plantae
8313153	Quercus palustris	6	220	Magnoliopsida	Plantae
7262958	Acer monspessulanum	6	220	Magnoliopsida	Plantae
5356361	Lathyrus annuus	6	220	Magnoliopsida	Plantae
3138953	Melampodium perfoliatum	6	220	Magnoliopsida	Plantae
2701578	Juncus foliosus	6	196	Liliopsida	Plantae
8386733	Amsinckia lycopsoides	6	220	Magnoliopsida	Plantae
7519710	Orobanche amethystea	6	220	Magnoliopsida	Plantae
2650829	Cyrtomium falcatum	6	7228684	Polypodiopsida	Plantae
5410411	Campanula portenschlagiana	6	220	Magnoliopsida	Plantae
2772885	Ornithogalum pyramidale	6	196	Liliopsida	Plantae
2705181	Sorghum bicolor	6	196	Liliopsida	Plantae
2492081	Paroaria coronata	1	212	Aves	Animalia
5362136	Aruncus dioicus	6	220	Magnoliopsida	Plantae
2889037	Rumex rugosus	6	220	Magnoliopsida	Plantae
5341442	Thymus vulgaris	6	220	Magnoliopsida	Plantae
5377778	Aurinia saxatilis	6	220	Magnoliopsida	Plantae
2688189	Selaginella kraussiana	6	245	Lycopodiopsida	Plantae
5334227	Lonicera caprifolium	6	220	Magnoliopsida	Plantae
3627235	Oxalis uittienii	6	220	Magnoliopsida	Plantae
2925527	Verbena hastata	6	220	Magnoliopsida	Plantae
3171951	Verbascum phoeniceum	6	220	Magnoliopsida	Plantae
2928774	Nicotiana tabacum	6	220	Magnoliopsida	Plantae
5548401	Amaranthus standleyanus	6	220	Magnoliopsida	Plantae
5392270	Cichorium pumilum	6	220	Magnoliopsida	Plantae
5415100	Proboscidea louisianica	6	220	Magnoliopsida	Plantae
2493447	Garrulax leucolophus	1	212	Aves	Animalia
9691034	Phoenicopterus ruber	1	212	Aves	Animalia
2880580	Quercus cerris	6	220	Magnoliopsida	Plantae
2702798	Echinochloa esculenta	6	196	Liliopsida	Plantae
5334351	Fallopia baldschuanica	6	220	Magnoliopsida	Plantae
4286975	Cyprinus carpio	1	204	Actinopterygii	Animalia
2891707	Oxalis debilis	6	220	Magnoliopsida	Plantae
5289781	Aegilops geniculata	6	196	Liliopsida	Plantae
2986129	Ribes spicatum	6	220	Magnoliopsida	Plantae
2977222	Ononis alopecuroides	6	220	Magnoliopsida	Plantae
8022932	Plantago lagopus	6	220	Magnoliopsida	Plantae
5361909	Ficus carica	6	220	Magnoliopsida	Plantae
3940423	Malva thuringiaca	6	220	Magnoliopsida	Plantae
7749287	Petasites albus	6	220	Magnoliopsida	Plantae
2362881	Leucaspius delineatus	1	204	Actinopterygii	Animalia
2479798	Melopsittacus undulatus	1	212	Aves	Animalia
3033518	Clematis viticella	6	220	Magnoliopsida	Plantae
2932184	Solanum sisymbriifolium	6	220	Magnoliopsida	Plantae
2928775	Nicotiana rustica	6	220	Magnoliopsida	Plantae
5690287	Sedum cepaea	6	220	Magnoliopsida	Plantae
2495688	Streptopelia roseogrisea	1	212	Aves	Animalia
2479977	Nymphicus hollandicus	1	212	Aves	Animalia
2498335	Cygnus melancoryphus	1	212	Aves	Animalia
3118216	Tanacetum corymbosum	6	220	Magnoliopsida	Plantae
7294771	Heliotropium suaveolens	6	220	Magnoliopsida	Plantae
3171954	Verbascum virgatum	6	220	Magnoliopsida	Plantae
5356514	Lathyrus odoratus	6	220	Magnoliopsida	Plantae
2928538	Ipomoea hederacea	6	220	Magnoliopsida	Plantae
5348644	Coronilla scorpioides	6	220	Magnoliopsida	Plantae
5289758	Phalaris paradoxa	6	196	Liliopsida	Plantae
5384390	Amaranthus cruentus	6	220	Magnoliopsida	Plantae
5359249	Trifolium rubens	6	220	Magnoliopsida	Plantae
5384332	Amaranthus muricatus	6	220	Magnoliopsida	Plantae
5674047	Nassella hyalina	6	196	Liliopsida	Plantae
3040254	Reseda alba	6	220	Magnoliopsida	Plantae
3085623	Petrorhagia saxifraga	6	220	Magnoliopsida	Plantae
5406789	Alcea rosea	6	220	Magnoliopsida	Plantae
3064056	Euphorbia palustris	6	220	Magnoliopsida	Plantae
8969026	Physalis philadelphica	6	220	Magnoliopsida	Plantae
2773453	Ornithogalum divergens	6	196	Liliopsida	Plantae
7894250	Datura ferox	6	220	Magnoliopsida	Plantae
5406741	Sida spinosa	6	220	Magnoliopsida	Plantae
5284827	Picea sitchensis	6	194	Pinopsida	Plantae
2722380	Carex crawfordii	6	196	Liliopsida	Plantae
3152268	Malvastrum coromandelianum	6	220	Magnoliopsida	Plantae
5290177	Lagurus ovatus	6	196	Liliopsida	Plantae
2927684	Navarretia squarrosa	6	220	Magnoliopsida	Plantae
2975262	Vicia peregrina	6	220	Magnoliopsida	Plantae
3802845	Petunia punctata	6	220	Magnoliopsida	Plantae
4565061	Cernuella neglecta	1	225	Gastropoda	Animalia
5384932	Saururus cernuus	6	220	Magnoliopsida	Plantae
2772666	Hyacinthus orientalis	6	196	Liliopsida	Plantae
5584611	Silene chalcedonica	6	220	Magnoliopsida	Plantae
2984366	Soleirolia soleirolii	6	220	Magnoliopsida	Plantae
2703721	Bromus madritensis	6	196	Liliopsida	Plantae
2474936	Anthropoides virgo	1	212	Aves	Animalia
5391599	Chamaemelum nobile	6	220	Magnoliopsida	Plantae
7855120	Odontites luteus	6	220	Magnoliopsida	Plantae
2948921	Cullen americanum	6	220	Magnoliopsida	Plantae
5289745	Phalaris brachystachys	6	196	Liliopsida	Plantae
3102871	Xerochrysum bracteatum	6	220	Magnoliopsida	Plantae
5360508	Trigonella maritima	6	220	Magnoliopsida	Plantae
3026585	Spiraea alba	6	220	Magnoliopsida	Plantae
5359499	Trifolium alpestre	6	220	Magnoliopsida	Plantae
7358948	Lasius neglectus	1	216	Insecta	Animalia
2891755	Oxalis latifolia	6	220	Magnoliopsida	Plantae
5380041	Ricinus communis	6	220	Magnoliopsida	Plantae
3092782	Euthamia graminifolia	6	220	Magnoliopsida	Plantae
9326020	Gallus gallus	1	212	Aves	Animalia
2986045	Philadelphus coronarius	6	220	Magnoliopsida	Plantae
3152378	Malva parviflora	6	220	Magnoliopsida	Plantae
2650903	Onoclea sensibilis	6	7228684	Polypodiopsida	Plantae
3033131	Thalictrum aquilegifolium	6	220	Magnoliopsida	Plantae
2706218	Lolium rigidum	6	196	Liliopsida	Plantae
5290059	Beckmannia syzigachne	6	196	Liliopsida	Plantae
7303104	Plantago afra	6	220	Magnoliopsida	Plantae
8184157	Silene stricta	6	220	Magnoliopsida	Plantae
3110767	Cladanthus mixtus	6	220	Magnoliopsida	Plantae
7523432	Silene behen	6	220	Magnoliopsida	Plantae
2705300	Avena barbata	6	196	Liliopsida	Plantae
7294681	Pulmonaria longifolia	6	220	Magnoliopsida	Plantae
2498305	Oxyura jamaicensis	1	212	Aves	Animalia
3021496	Prunus laurocerasus	6	220	Magnoliopsida	Plantae
5300102	Gagea pratensis	6	196	Liliopsida	Plantae
7627205	Glebionis coronaria	6	220	Magnoliopsida	Plantae
2874621	Citrullus lanatus	6	220	Magnoliopsida	Plantae
3639326	Bupleurum croceum	6	220	Magnoliopsida	Plantae
3067119	Euphorbia maculata	6	220	Magnoliopsida	Plantae
2685796	Pseudotsuga menziesii	6	194	Pinopsida	Plantae
2437450	Tamias sibiricus	1	359	Mammalia	Animalia
3125933	Santolina chamaecyparissus	6	220	Magnoliopsida	Plantae
2704523	Cortaderia selloana	6	196	Liliopsida	Plantae
3686235	Staphylea pinnata	6	220	Magnoliopsida	Plantae
2498344	Cygnus atratus	1	212	Aves	Animalia
5383971	Blitum capitatum	6	220	Magnoliopsida	Plantae
2930805	Solanum sarrachoides	6	220	Magnoliopsida	Plantae
3141890	Cyclachaena xanthiifolia	6	220	Magnoliopsida	Plantae
2705690	Hainardia cylindrica	6	196	Liliopsida	Plantae
2706209	Pseudosasa japonica	6	196	Liliopsida	Plantae
2686157	Larix kaempferi	6	194	Pinopsida	Plantae
3169329	Androsace maxima	6	220	Magnoliopsida	Plantae
5204019	Oncorhynchus mykiss	1	204	Actinopterygii	Animalia
5359660	Glycine max	6	220	Magnoliopsida	Plantae
5354500	Cytisus hirsutus	6	220	Magnoliopsida	Plantae
2705932	Axonopus fissifolius	6	196	Liliopsida	Plantae
2890035	Geranium oxonianum	6	220	Magnoliopsida	Plantae
7303117	Plantago sempervirens	6	220	Magnoliopsida	Plantae
5864277	Gammarus roeselii	1	229	Malacostraca	Animalia
2677047	Orthodontium lineare	6	327	Bryopsida	Plantae
5384393	Amaranthus palmeri	6	220	Magnoliopsida	Plantae
5376925	Lepidium bonariense	6	220	Magnoliopsida	Plantae
2498390	Marmaronetta angustirostris	1	212	Aves	Animalia
2874570	Cucumis melo	6	220	Magnoliopsida	Plantae
5401760	Ageratum houstonianum	6	220	Magnoliopsida	Plantae
2705031	Festuca glauca	6	196	Liliopsida	Plantae
5290069	Parapholis incurva	6	196	Liliopsida	Plantae
2206086	Proasellus meridianus	1	229	Malacostraca	Animalia
2687182	Tsuga canadensis	6	194	Pinopsida	Plantae
1719204	Gryllomorpha dalmatina	1	216	Insecta	Animalia
2964025	Lupinus angustifolius	6	220	Magnoliopsida	Plantae
5384401	Amaranthus spinosus	6	220	Magnoliopsida	Plantae
2888867	Rheum rhabarbarum	6	220	Magnoliopsida	Plantae
5304294	Hyacinthoides massartiana	6	196	Liliopsida	Plantae
2474416	Porphyrio porphyrio	1	212	Aves	Animalia
5232423	Chloephaga poliocephala	1	212	Aves	Animalia
3040184	Populus balsamifera	6	220	Magnoliopsida	Plantae
8035075	Crassula helmsii	6	220	Magnoliopsida	Plantae
5341373	Scutellaria altissima	6	220	Magnoliopsida	Plantae
5355395	Spartium junceum	6	220	Magnoliopsida	Plantae
2705339	Eragrostis mexicana	6	196	Liliopsida	Plantae
5384347	Amaranthus tuberculatus	6	220	Magnoliopsida	Plantae
2702822	Echinochloa frumentacea	6	196	Liliopsida	Plantae
5392145	Bidens radiata	6	220	Magnoliopsida	Plantae
2489075	Lamprotornis superbus	1	212	Aves	Animalia
3026294	Cotoneaster bullatus	6	220	Magnoliopsida	Plantae
5392883	Echinops sphaerocephalus	6	220	Magnoliopsida	Plantae
2888625	Viburnum rhytidophyllum	6	220	Magnoliopsida	Plantae
2985965	Deutzia scabra	6	220	Magnoliopsida	Plantae
2227300	Procambarus clarkii	1	229	Malacostraca	Animalia
5669632	Pilea peperomioides	6	220	Magnoliopsida	Plantae
4286942	Carassius auratus	1	204	Actinopterygii	Animalia
7443846	Dipsacus strigosus	6	220	Magnoliopsida	Plantae
3033242	Anemone blanda	6	220	Magnoliopsida	Plantae
2142456	Uloborus plumipes	1	367	Arachnida	Animalia
5281901	Campylopus introflexus	6	327	Bryopsida	Plantae
3172347	Fraxinus ornus	6	220	Magnoliopsida	Plantae
2687210	Tsuga heterophylla	6	194	Pinopsida	Plantae
3084022	Phytolacca acinosa	6	220	Magnoliopsida	Plantae
2984676	Pachysandra terminalis	6	220	Magnoliopsida	Plantae
3147815	Verbesina alternifolia	6	220	Magnoliopsida	Plantae
3012089	Sorbaria sorbifolia	6	220	Magnoliopsida	Plantae
2928809	Lycium chinense	6	220	Magnoliopsida	Plantae
5356662	Lathyrus niger	6	220	Magnoliopsida	Plantae
5290242	Gaudinia fragilis	6	196	Liliopsida	Plantae
2705400	Eragrostis pilosa	6	196	Liliopsida	Plantae
8080300	Pimpinella anisum	6	220	Magnoliopsida	Plantae
3039269	Elaeagnus angustifolia	6	220	Magnoliopsida	Plantae
5232428	Chloephaga picta	1	212	Aves	Animalia
5391845	Bidens pilosa	6	220	Magnoliopsida	Plantae
5415054	Forsythia intermedia	6	220	Magnoliopsida	Plantae
2995149	Rubus phoenicolasius	6	220	Magnoliopsida	Plantae
2480772	Plegadis ridgwayi	1	212	Aves	Animalia
2479555	Agapornis canus	1	212	Aves	Animalia
2157245	Steatoda grossa	1	367	Arachnida	Animalia
5359345	Trifolium echinatum	6	220	Magnoliopsida	Plantae
2766030	Pontederia cordata	6	196	Liliopsida	Plantae
2498001	Sarkidiornis melanotos	1	212	Aves	Animalia
5415455	Acanthus mollis	6	220	Magnoliopsida	Plantae
3032698	Tellima grandiflora	6	220	Magnoliopsida	Plantae
2498384	Callonetta leucophrys	1	212	Aves	Animalia
3040253	Reseda phyteuma	6	220	Magnoliopsida	Plantae
7746901	Silene otites	6	220	Magnoliopsida	Plantae
