taxonKey	canonicalName	year	obs	native_obs	ncells	native_ncells	kingdomKey	classKey	class	kingdom
1008955	Fenestrulina delicia	2009	1	0	1	0	1	252	Gymnolaemata	Animalia
1008955	Fenestrulina delicia	2010	0	0	0	0	1	252	Gymnolaemata	Animalia
1008955	Fenestrulina delicia	2011	1	0	1	0	1	252	Gymnolaemata	Animalia
1008955	Fenestrulina delicia	2012	1	0	1	0	1	252	Gymnolaemata	Animalia
1008955	Fenestrulina delicia	2013	0	0	0	0	1	252	Gymnolaemata	Animalia
1008955	Fenestrulina delicia	2014	0	0	0	0	1	252	Gymnolaemata	Animalia
1008955	Fenestrulina delicia	2015	0	0	0	0	1	252	Gymnolaemata	Animalia
1008955	Fenestrulina delicia	2016	0	0	0	0	1	252	Gymnolaemata	Animalia
1008955	Fenestrulina delicia	2017	0	0	0	0	1	252	Gymnolaemata	Animalia
1031394	Ectopsocus petersi	2009	4	1649	4	111	1	216	Insecta	Animalia
1031394	Ectopsocus petersi	2010	1	1787	1	115	1	216	Insecta	Animalia
1031394	Ectopsocus petersi	2011	1	1497	1	112	1	216	Insecta	Animalia
1031394	Ectopsocus petersi	2012	9	1686	9	111	1	216	Insecta	Animalia
1031394	Ectopsocus petersi	2013	9	2293	8	112	1	216	Insecta	Animalia
1031394	Ectopsocus petersi	2014	16	2803	15	116	1	216	Insecta	Animalia
1031394	Ectopsocus petersi	2015	17	2801	17	113	1	216	Insecta	Animalia
1031394	Ectopsocus petersi	2016	14	2846	14	116	1	216	Insecta	Animalia
1031394	Ectopsocus petersi	2017	48	4238	48	116	1	216	Insecta	Animalia
1031400	Ectopsocus briggsi	2011	2	1154	2	83	1	216	Insecta	Animalia
1031400	Ectopsocus briggsi	2012	2	1108	2	82	1	216	Insecta	Animalia
1031400	Ectopsocus briggsi	2013	2	1492	2	84	1	216	Insecta	Animalia
1031400	Ectopsocus briggsi	2014	13	1821	12	84	1	216	Insecta	Animalia
1031400	Ectopsocus briggsi	2015	21	1944	21	83	1	216	Insecta	Animalia
1031400	Ectopsocus briggsi	2016	24	2039	24	85	1	216	Insecta	Animalia
1031400	Ectopsocus briggsi	2017	23	2775	23	85	1	216	Insecta	Animalia
1031684	Lepinotus patruelis	2010	1	60	1	5	1	216	Insecta	Animalia
1031684	Lepinotus patruelis	2011	0	69	0	5	1	216	Insecta	Animalia
1031684	Lepinotus patruelis	2012	1	54	1	5	1	216	Insecta	Animalia
1031684	Lepinotus patruelis	2013	0	61	0	5	1	216	Insecta	Animalia
1031684	Lepinotus patruelis	2014	1	107	1	5	1	216	Insecta	Animalia
1031684	Lepinotus patruelis	2015	2	101	2	5	1	216	Insecta	Animalia
1031684	Lepinotus patruelis	2016	0	141	0	5	1	216	Insecta	Animalia
1031684	Lepinotus patruelis	2017	0	160	0	5	1	216	Insecta	Animalia
1031737	Psyllipsocus ramburii	2017	1	78	1	1	1	216	Insecta	Animalia
1031742	Dorypteryx domestica	2012	1	73	1	5	1	216	Insecta	Animalia
1031742	Dorypteryx domestica	2013	0	108	0	5	1	216	Insecta	Animalia
1031742	Dorypteryx domestica	2014	2	130	2	5	1	216	Insecta	Animalia
1031742	Dorypteryx domestica	2015	1	123	1	5	1	216	Insecta	Animalia
1031742	Dorypteryx domestica	2016	1	139	1	5	1	216	Insecta	Animalia
1031742	Dorypteryx domestica	2017	0	189	0	5	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	1957	1	0	1	0	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	1958	0	0	0	0	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	1959	0	0	0	0	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	1960	0	0	0	0	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	1961	0	0	0	0	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	1962	0	0	0	0	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	1963	0	0	0	0	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	1964	0	0	0	0	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	1965	0	0	0	0	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	1966	0	0	0	0	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	1967	0	0	0	0	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	1968	0	1	0	1	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	1969	0	1	0	1	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	1970	0	1	0	1	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	1971	0	0	0	0	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	1972	0	0	0	0	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	1973	0	0	0	0	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	1974	0	0	0	0	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	1975	0	0	0	0	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	1976	0	0	0	0	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	1977	0	1	0	1	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	1978	0	0	0	0	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	1979	0	1	0	1	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	1980	0	0	0	0	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	1981	0	0	0	0	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	1982	0	2	0	2	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	1983	0	0	0	0	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	1984	0	1	0	1	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	1985	0	0	0	0	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	1986	0	0	0	0	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	1987	0	0	0	0	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	1988	0	0	0	0	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	1989	0	2	0	1	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	1990	0	1	0	1	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	1991	0	2	0	2	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	1992	0	38	0	3	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	1993	0	6	0	2	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	1994	0	16	0	3	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	1995	0	25	0	3	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	1996	0	8	0	3	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	1997	0	17	0	4	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	1998	0	20	0	3	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	1999	0	3	0	3	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	2000	0	29	0	3	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	2001	0	7	0	3	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	2002	0	2	0	2	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	2003	0	13	0	4	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	2004	0	16	0	4	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	2005	0	14	0	4	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	2006	0	9	0	3	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	2007	0	14	0	3	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	2008	0	23	0	4	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	2009	0	142	0	4	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	2010	0	72	0	4	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	2011	0	52	0	4	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	2012	0	23	0	4	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	2013	0	54	0	4	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	2014	0	57	0	4	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	2015	0	59	0	4	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	2016	2	89	2	4	1	216	Insecta	Animalia
1043717	Cryptolaemus montrouzieri	2017	1	118	1	4	1	216	Insecta	Animalia
1152186	Callidiellum rufipennis	2012	1	156	1	15	1	216	Insecta	Animalia
1152186	Callidiellum rufipennis	2013	0	183	0	15	1	216	Insecta	Animalia
1152186	Callidiellum rufipennis	2014	14	329	9	15	1	216	Insecta	Animalia
