taxonKey	year	obs	native_obs	ncells	native_ncells	fit	ucl	lcl	em1	em2	em	em_status	growth	method
5289686	2000	32	1664	27	185	6.634411232489127	10.446879817082399	4.2132591905389125	1	0	3	3	1.0485788373467453	correct_baseline
5289686	2001	26	1276	24	155	7.093975223000241	11.180342016339353	4.501157870751656	1	0	3	3	1.0459145657283753	correct_baseline
5289686	2002	20	1252	18	148	7.568028250301373	11.929542654077025	4.801110424613421	1	0	3	3	1.04298557945665	correct_baseline
5289686	2003	18	1056	14	149	8.05478504395456	12.690256081995539	5.1125494777337694	1	0	3	3	1.0397898556124334	correct_baseline
5289686	2004	4	1305	4	162	8.552293358296312	13.45882217035096	5.434481618123047	1	0	3	3	1.0363233666474703	correct_baseline
5289686	2005	4	635	4	114	9.058458828579571	14.23269956452429	5.765292520724532	1	0	3	3	1.032578038890268	correct_baseline
5289686	2006	15	1004	14	122	9.571069557356815	15.0112008373373	6.102467981369798	1	0	3	3	1.0285414695772364	correct_baseline
5289686	2007	14	714	12	116	10.087818995701225	15.79645314854734	6.442211497293543	1	0	3	3	1.0241988156311923	correct_baseline
5289686	2008	15	1065	15	169	10.60632596581116	16.594606040176114	6.7789587906267785	1	0	3	3	1.0195364092282093	correct_baseline
5289686	2009	13	1487	13	234	11.124151083716935	17.417253059676135	7.1048366185742085	1	0	3	3	1.0145459867027629	correct_baseline
5289686	2010	26	1580	24	290	11.638809347855473	18.282937307284605	7.409196933676235	1	0	3	3	1.0092282420704024	correct_baseline
5289686	2011	19	1744	16	293	12.147779213995317	19.2184843959893	7.678469164965618	1	0	3	3	1.0035947621781687	correct_baseline
5289686	2012	20	1815	18	304	12.648509023822333	20.259809773505825	7.896657585350599	0	0	0	1	0.9976680308161316	correct_baseline
5289686	2013	31	2339	30	330	13.138422133239583	21.451901565151864	8.046752201754181	0	0	0	1	0.9914797583217201	correct_baseline
5289686	2014	26	2666	23	349	13.614922435929326	22.847996708179835	8.11301381490521	0	0	0	1	0.9850681076987405	correct_baseline
5289686	2015	57	5546	46	381	14.075402139340163	24.508479166776144	8.083608290664982	0	0	0	1	0.9784744356529506	correct_baseline
5289686	2016	25	4880	24	390	14.517253571374908	26.5004031742821	7.95273377048562	0	0	0	1	0.9717400668636769	correct_baseline
5289686	2017	47	9647	42	385	14.937886433789478	28.898450375037964	7.7215369064057855	0	0	0	1	0.9649034805149149	correct_baseline
5289686	2018	42	7612	39	381	15.33475124376013	31.78763940094807	7.397674068902057	0	0	0	1	0.9579981678810509	correct_baseline
5289686	2019	41	732	36	143	15.705368708043613	35.26765004652162	6.993905347541665	0	0	0	1	0.9510513388281759	correct_baseline
5289686	2020	0	3	0	3	16.047363468051234	39.45851538582094	6.526294052317084	0	0	0	1	0.944083603001478	correct_baseline
3039194	1980	0	876	0	26	0.3169011720783282	1.8798026905049938	0.05342387973582453	0	1	1	2	0.8643270352258778	correct_baseline
3039194	1981	0	253	0	21	0.3065490168986944	1.5779151741382291	0.059554722143336104	0	1	1	2	0.8733169185549611	correct_baseline
3039194	1982	0	772	0	22	0.2982567464908604	1.3447705658055542	0.06615038214643378	0	1	1	2	0.8823875469805221	correct_baseline
3039194	1983	1	460	1	16	0.2918736513255828	1.1639865176274573	0.07318832911550412	0	1	1	2	0.8915376652998882	correct_baseline
3039194	1984	0	207	0	17	0.2872855447299431	1.0236192882831017	0.08062859420049741	0	1	1	2	0.9007655875612606	correct_baseline
3039194	1985	0	200	0	18	0.28441135285072566	0.9149189929982088	0.08841199958621726	0	1	1	2	0.9100690898636363	correct_baseline
3039194	1986	0	324	0	18	0.2832007226398329	0.8314556802517139	0.09646052244112772	0	1	1	2	0.9194452706895874	correct_baseline
3039194	1987	2	236	1	15	0.2836325488484868	0.7684984913485912	0.1046813021390803	0	1	1	2	0.9288903666723382	correct_baseline
3039194	1988	0	220	0	16	0.28571435958125696	0.7225678575823477	0.112975818692052	0	1	1	2	0.9383995069023569	correct_baseline
3039194	1989	0	54	0	20	0.2894825353206009	0.6911065203585606	0.12125502478570986	0	1	1	2	0.947966382352807	correct_baseline
3039194	1990	0	137	0	12	0.295003370367059	0.6722337844454117	0.12945940912464082	0	1	1	2	0.9575827972168572	correct_baseline
3039194	1991	0	1301	0	18	0.3023750201421099	0.6645612902891069	0.13758046720742026	0	1	1	2	0.9672380554441644	correct_baseline
3039194	1992	0	190	0	9	0.3117304145916136	0.6670581861421114	0.14567822327984556	0	1	1	2	0.9769181166554591	correct_baseline
3039194	1993	0	290	0	13	0.32324125897662564	0.678958370733382	0.1538900115362504	0	1	1	2	0.9866044301864778	correct_baseline
3039194	1994	0	826	0	12	0.33712329089040094	0.6997028272919164	0.16242911823101464	0	1	1	2	0.9962723256978611	correct_baseline
3039194	1995	0	211	0	16	0.35364301906763285	0.7289083389872159	0.17157628503611286	1	1	4	3	1.0058888120194758	correct_baseline
3039194	1996	1	561	1	22	0.37312623873665085	0.7663531508515724	0.1816697561418717	1	1	4	3	1.015409640061795	correct_baseline
3039194	1997	2	1284	2	39	0.39596870403150053	0.8119718817042835	0.19309931551236734	1	1	4	3	1.0247755932832152	correct_baseline
3039194	1998	0	590	0	21	0.4226494455931931	0.865855374835126	0.20630761100749445	1	1	4	3	1.0339083392705355	correct_baseline
3039194	1999	0	801	0	25	0.453747357744801	0.9282545702620494	0.22179978559358554	1	1	4	3	1.0427070850606885	correct_baseline
3039194	2000	0	936	0	32	0.4899618533710394	0.9995899537822535	0.24016109490740062	1	1	4	3	1.0510489708022663	correct_baseline
3039194	2001	2	755	2	33	0.532138607459618	1.0804697766818236	0.2620818311259896	1	1	4	3	1.0587980907013494	correct_baseline
3039194	2002	0	704	0	24	0.5813016974298871	1.1717216787556795	0.2883890172568253	1	1	4	3	1.0658275418261478	correct_baseline
3039194	2003	0	695	0	25	0.6386938200672844	1.2744443349108994	0.32008443571657474	1	1	4	3	1.0720515971490332	correct_baseline
3039194	2004	0	1409	0	25	0.7058267478991389	1.3900890527438932	0.3583881169817832	1	1	4	3	1.0774525971853197	correct_baseline
3039194	2005	0	618	0	25	0.7845448179055203	1.5205868204088508	0.40478489162289955	1	1	4	3	1.0820841506811265	correct_baseline
3039194	2006	0	449	0	22	0.8771050703308844	1.6685455144664223	0.46106821643769275	1	1	4	3	1.0860487226432896	correct_baseline
3039194	2007	1	661	1	30	0.9862787391706659	1.8375568705767424	0.5293690589476934	1	1	4	3	1.0894661959756855	correct_baseline
3039194	2008	2	936	2	42	1.115480225018581	2.032676118615781	0.6121467758743823	1	1	4	3	1.0924500734368583	correct_baseline
3039194	2009	2	1522	2	46	1.2689315721073209	2.26117140569155	0.7121031738849103	1	1	4	3	1.0950961893397997	correct_baseline
3039194	2010	5	1071	5	49	1.4518729828802053	2.533684317045796	0.831964402287992	1	1	4	3	1.0974805418100917	correct_baseline
3039194	2011	2	985	1	53	1.6708332507773513	2.8659850836102865	0.9740747667767071	1	1	4	3	1.099661506839609	correct_baseline
3039194	2012	8	983	3	53	1.9339784694213562	3.2815157615942585	1.1398003215344106	1	1	4	3	1.1016833320782626	correct_baseline
3039194	2013	6	1017	6	50	2.2515633874570136	3.814859861313026	1.3288922455966787	1	1	4	3	1.1035794815708093	correct_baseline
