SITECODE,SITENAME,SITETYPE,n_taxa,n_obs,flanders,wallonia,brussels
BE35030C0,La Calestienne entre Frasnes et Doische,C,262,1027,FALSE,TRUE,FALSE
BE32017C0,Vallée de la Haine en aval de Mons,C,225,792,FALSE,TRUE,FALSE
BE32012C0,Bord nord du bassin de la Haine,C,199,606,FALSE,TRUE,FALSE
BE33014C0,Vallée de l'Ourthe entre Comblain-au-Pont et Angleur,C,189,627,FALSE,TRUE,FALSE
BE33003C0,Montagne Saint-Pierre,C,184,560,FALSE,TRUE,FALSE
BE32019C0,Vallée de la Trouille,C,183,570,FALSE,TRUE,FALSE
BE35009C0,Vallée de la Meuse d'Yvoir à Dave,C,174,540,FALSE,TRUE,FALSE
BE35012C0,Vallée de la Meuse de Dinant à Yvoir,C,173,538,FALSE,TRUE,FALSE
BE31002C0,Vallées de l'Argentine et de la Lasne,C,159,516,FALSE,TRUE,FALSE
BE35010C0,Vallée du Bocq,C,158,452,FALSE,TRUE,FALSE
BE33010C0,Vallée de la Meuse à Huy et vallon de la Solières,C,157,464,FALSE,TRUE,FALSE
BE34057C0,Marais de la Haute-Semois et Bois de Heinsch,C,156,412,FALSE,TRUE,FALSE
BE35004C0,Vallée de la Meuse de Dave à Marche-les-Dames,C,146,478,FALSE,TRUE,FALSE
BE32014C0,Vallée de la Haine en amont de Mons,C,143,410,FALSE,TRUE,FALSE
BE35038C0,Bassin de la Lesse entre Villers-sur-Lesse et Chanly,C,142,496,FALSE,TRUE,FALSE
BE33004C0,Basse Meuse et Meuse mitoyenne,C,139,345,FALSE,TRUE,FALSE
BE35020C0,Vallée de la Meuse d'Hastière à Dinant,C,133,372,FALSE,TRUE,FALSE
BE31011C0,Vallée de la Thyle,C,133,358,FALSE,TRUE,FALSE
BE32003C0,Pays des Collines,C,131,334,FALSE,TRUE,FALSE
BE34066C0,Vallée du Ton et Côte bajocienne de Montquintin à Ruette,C,129,358,FALSE,TRUE,FALSE
BE35006C0,Vallée de la Meuse de Marche-les-Dames à Andenne,C,127,372,FALSE,TRUE,FALSE
BE32007C0,Bois de la Houssière,C,124,282,FALSE,TRUE,FALSE
BE32005C0,Vallées de la Dendre et de la Marcq,C,121,333,FALSE,TRUE,FALSE
BE32021C0,Haute-Sambre en aval de Thuin,C,119,287,FALSE,TRUE,FALSE
BE31001C0,Affluents brabançons de la Senne,C,118,457,FALSE,TRUE,FALSE
BE35029C0,Bassin fagnard de l'Hermeton,C,117,336,FALSE,TRUE,FALSE
BE34003C0,Vallée de l'Ourthe entre Hotton et Barvaux-sur-Ourthe,C,113,290,FALSE,TRUE,FALSE
BE34046C0,Bassin de la Semois de Florenville à Auby,C,113,290,FALSE,TRUE,FALSE
BE35019C0,Vallée de la Meuse en amont d'Hastière,C,113,267,FALSE,TRUE,FALSE
BE33012C0,Affluents de la Meuse entre Huy et Flémalle,C,111,285,FALSE,TRUE,FALSE
BE33016C0,Basse vallée de la Vesdre,C,109,361,FALSE,TRUE,FALSE
BE35027C0,Vallée de l'Eau Blanche entre Aublain et Mariembourg,C,109,248,FALSE,TRUE,FALSE
BE32001C0,Vallée de la Lys,C,108,303,FALSE,TRUE,FALSE
BE33017C0,Basse vallée de l'Amblève,C,108,286,FALSE,TRUE,FALSE
BE31006C0,Vallée de la Dyle à Ottignies,C,107,264,FALSE,TRUE,FALSE
BE35028C0,Bassin fagnard de l'Eau Blanche en aval de Mariembourg,C,105,265,FALSE,TRUE,FALSE
BE33026C0,Vallée de l'Ourthe entre Hamoir et Comblain-au-Pont,C,105,240,FALSE,TRUE,FALSE
BE31004C0,Vallée de la Dyle en aval d'Archennes,C,104,412,FALSE,TRUE,FALSE
BE35021C0,Vallée de la Lesse en aval de Houyet,C,103,297,FALSE,TRUE,FALSE
BE35032C0,Bassin ardennais du Viroin,C,102,226,FALSE,TRUE,FALSE
BE32036C0,Vallée de l'Eau Blanche à Virelles,C,101,262,FALSE,TRUE,FALSE
BE34029C0,Haute-Wamme et Masblette,C,98,189,FALSE,TRUE,FALSE
BE34004C0,Massifs forestiers famenniens entre Hotton et Barvaux-sur-Ourthe,C,95,240,FALSE,TRUE,FALSE
BE31010C0,Sources de la Dyle,C,94,302,FALSE,TRUE,FALSE
BE31003C0,Vallée de la Lasne,C,94,295,FALSE,TRUE,FALSE
BE35037C0,Vallée de la Wimbe,C,94,263,FALSE,TRUE,FALSE
BE32002C0,Vallée de l'Escaut en aval de Tournai,C,91,194,FALSE,TRUE,FALSE
BE33006C0,Vallée de la Gueule en aval de Kelmis,C,90,207,FALSE,TRUE,FALSE
BE35005C0,Bassin du Samson,C,88,228,FALSE,TRUE,FALSE
BE34002C0,Vallée de l'Ourthe entre Bomal et Hamoir,C,88,223,FALSE,TRUE,FALSE
BE32044C0,Bassin de l'Escaut en amont de Tournai,C,88,213,FALSE,TRUE,FALSE
BE33011C0,Vallées du Hoyoux et du Triffoy,C,87,228,FALSE,TRUE,FALSE
BE31005C0,Vallée de la Nethen,C,86,269,FALSE,TRUE,FALSE
BE33009C0,Vallée de la Mehaigne,C,86,225,FALSE,TRUE,FALSE
BE35023C0,Vallée de la Lesse entre Villers-sur-Lesse et Houyet,C,86,219,FALSE,TRUE,FALSE
BE32004C0,Vallée de la Rhosnes,C,84,203,FALSE,TRUE,FALSE
BE34064C0,Vallées de la Vire et du Ton,C,83,242,FALSE,TRUE,FALSE
BE34056C0,Bassin de la Semois de Etalle à Tintigny,C,83,204,FALSE,TRUE,FALSE
BE34054C0,Bassin de la Marche,C,83,161,FALSE,TRUE,FALSE
BE32037C0,Massifs forestiers entre Momignies et Chimay,C,83,136,FALSE,TRUE,FALSE
BE34007C0,Basse vallée de l'Aisne,C,82,211,FALSE,TRUE,FALSE
BE35025C0,La Famenne entre Eprave et Havrenne,C,82,200,FALSE,TRUE,FALSE
BE32025C0,Haut-Pays des Honnelles,C,82,164,FALSE,TRUE,FALSE
