scientificName	year	Cell.area	Nachman	PL	Poisson	Logis	NB	Means	std
Fallopia japonica (Houtt.) Ronse Decraene	1937	1e6	0.03270386714354556	0.04301558123178129	0.004964999493365819	0.02446650037534998	0.009690819414534204	0.01753134731210656	0.015806088040471785
Fallopia japonica (Houtt.) Ronse Decraene	1937	4e6	0.06646736737392556	0.07727124796620592	0.019712579619144518	0.05705678628581377	0.03624130760794587	0.046150478255720113	0.02324979707549753
Fallopia japonica (Houtt.) Ronse Decraene	1937	9e6	0.09987535007095628	0.10884983708666222	0.04380775636904622	0.09197371399953691	0.0737877482231548	0.07978054855255186	0.025749980495864133
Fallopia japonica (Houtt.) Ronse Decraene	1937	16e6	0.13261397634455063	0.13880658104053306	0.07654929281992118	0.1273896714745664	0.11628469778973995	0.11585624931609334	0.024775041601701447
Fallopia japonica (Houtt.) Ronse Decraene	1938	1e6	0.03184673958812434	0.042319522813745715	0.005026469765602169	0.023584155043210587	0.009575190053357833	0.01725549044178644	0.015441186907363933
Fallopia japonica (Houtt.) Ronse Decraene	1938	4e6	0.06555247186450897	0.07664782639801077	0.019954794017284172	0.05596904332683409	0.03591497408192457	0.04580067950332779	0.022833391049699104
Fallopia japonica (Houtt.) Ronse Decraene	1938	9e6	0.09921988480395369	0.10849162968005398	0.04433926116740283	0.09111540522191858	0.0734074619669972	0.07958350908812853	0.02532262768431423
Fallopia japonica (Houtt.) Ronse Decraene	1938	16e6	0.13240557058339375	0.13882220074635124	0.07746163818657015	0.12703786821770374	0.11614560851254875	0.11600523017206084	0.024335486308074018
Fallopia japonica (Houtt.) Ronse Decraene	1939	1e6	0.03140017255772032	0.04261332676967515	0.005254992207759825	0.02275607544177528	0.009642801130436139	0.017285025528465853	0.015381675471848166
Fallopia japonica (Houtt.) Ronse Decraene	1939	4e6	0.06572978539606589	0.07776917207076302	0.020854858875075658	0.05548791059286298	0.03629183101001454	0.04638278687628423	0.02279528059936171
Fallopia japonica (Houtt.) Ronse Decraene	1939	9e6	0.10043399474004987	0.11056965866507137	0.04631288610566175	0.09168948885207541	0.07451012095532006	0.08112424619902507	0.02521435543625156
Fallopia japonica (Houtt.) Ronse Decraene	1939	16e6	0.13488393455850278	0.14192846658655872	0.08084597671778572	0.1290817142855931	0.11843064770318867	0.11879643159643137	0.024057326248140092
Fallopia japonica (Houtt.) Ronse Decraene	1940	1e6	0.0340443933346356	0.045304336983514555	0.00522371184355974	0.025127106630196624	0.010085798273595684	0.018281148232797213	0.01659954647395634
Fallopia japonica (Houtt.) Ronse Decraene	1940	4e6	0.06911212118127961	0.08087797258714044	0.02073169379825912	0.05890889466620363	0.03769357332900902	0.04809428689174287	0.02421851920786146
Fallopia japonica (Houtt.) Ronse Decraene	1940	9e6	0.10374839743731945	0.11351669723820863	0.04604294869115987	0.09517677875512406	0.07667272448358788	0.0830759342894123	0.026620628595469677
Fallopia japonica (Houtt.) Ronse Decraene	1940	16e6	0.137633097134907	0.14438455312096246	0.08038341388319083	0.13196035711774828	0.12070217708406548	0.12053515471048316	0.025363197930639018
Fallopia japonica (Houtt.) Ronse Decraene	1941	NA	NA	NA	NA	NA	NA	NA	NA
Fallopia japonica (Houtt.) Ronse Decraene	1942	NA	NA	NA	NA	NA	NA	NA	NA
Fallopia japonica (Houtt.) Ronse Decraene	1943	NA	NA	NA	NA	NA	NA	NA	NA
Fallopia japonica (Houtt.) Ronse Decraene	1944	NA	NA	NA	NA	NA	NA	NA	NA
Fallopia japonica (Houtt.) Ronse Decraene	1945	1e6	0.002683083827637378	0.003037031943497773	9.186431374209599e-4	0.002369714127938484	0.0012791251235892977	0.0018671013143209535	9.153111513526445e-4
Fallopia japonica (Houtt.) Ronse Decraene	1945	4e6	0.007670334079654006	0.00823441871043977	0.003669512218678838	0.0071484778050240755	0.005053355439833874	0.006089334015200766	0.001923411578466715
Fallopia japonica (Houtt.) Ronse Decraene	1945	9e6	0.014153958031501433	0.014758054191844665	0.008237472680244549	0.013586510433929937	0.011142564255632651	0.012110409067808801	0.0026902334537270796
