nubKey	key	dataset_scientificname	datasetKey	scientificName	kingdom	taxonomicStatus	acceptedKey	accepted
2927322	139343542	Lamiastrum	87e99777-7f54-4209-9688-cbf7a9179ebe	Lamiastrum Heist. ex Fabr.	Plantae	DOUBTFUL	NA	NA
2927323	128536821	Lamiastrum galeobdolon (L.) Ehrend. & Polatschek	87e99777-7f54-4209-9688-cbf7a9179ebe	Lamiastrum galeobdolon (L.) Ehrend. & Polatschek	Plantae	SYNONYM	2927324	Lamium galeobdolon (L.) L.
2927325	139343535	Nepeta	87e99777-7f54-4209-9688-cbf7a9179ebe	Nepeta L.	Plantae	ACCEPTED	NA	NA
2927460	139343564	Nymphoides	87e99777-7f54-4209-9688-cbf7a9179ebe	Nymphoides Tourn. ex F.K. Medikus, 1789	Plantae	DOUBTFUL	NA	NA
2927475	139343565	Menyanthes	87e99777-7f54-4209-9688-cbf7a9179ebe	Menyanthes L.	Plantae	ACCEPTED	NA	NA
2927479	139343677	Cuscuta	87e99777-7f54-4209-9688-cbf7a9179ebe	Cuscuta L.	Plantae	ACCEPTED	NA	NA
2927484	134087039	Cuscuta suaveolens Seringe	9ff7d317-609b-4c08-bd86-3bc404b77c42	Cuscuta suaveolens Ser.	Plantae	ACCEPTED	NA	NA
2927492	134087060	Cuscuta gronovii Willd. ex Schult.	9ff7d317-609b-4c08-bd86-3bc404b77c42	Cuscuta gronovii Willdenow ex Roemer & Schultes	Plantae	SYNONYM	7694392	Cuscuta gronovii Willd.
2927493	128537464	Cuscuta europaea L.	87e99777-7f54-4209-9688-cbf7a9179ebe	Cuscuta europaea L.	Plantae	ACCEPTED	NA	NA
2927518	128537465	Cuscuta epithymum	87e99777-7f54-4209-9688-cbf7a9179ebe	Cuscuta epithymum (L.) L.	Plantae	ACCEPTED	NA	NA
2927522	134087040	Cuscuta planiflora Ten.	9ff7d317-609b-4c08-bd86-3bc404b77c42	Cuscuta planiflora Ten.	Plantae	ACCEPTED	NA	NA
2927530	134087061	Cuscuta epilinum Weihe	9ff7d317-609b-4c08-bd86-3bc404b77c42	Cuscuta epilinum Weihe	Plantae	ACCEPTED	NA	NA
2927684	134088212	Navarretia squarrosa (Eschsch.) Hook. & Arnott	9ff7d317-609b-4c08-bd86-3bc404b77c42	Navarretia squarrosa (Eschsch.) Hook. & Arn.	Plantae	ACCEPTED	NA	NA
2927727	134088213	Phlox subulata L.	9ff7d317-609b-4c08-bd86-3bc404b77c42	Phlox subulata L.	Plantae	ACCEPTED	NA	NA
