taxonKey	canonicalName	first_observed	last_observed	class	kingdom	kingdomKey	classKey
5179027	Scutigera coleoptrata	1830	2018	Chilopoda	Animalia	1	360
2516137	Gymnosporangium sabinae	1878	2008	Pucciniomycetes	Fungi	5	270
2498015	Tadorna ferruginea	1880	1880	Aves	Animalia	1	212
5421116	Tribulus terrestris	1835	1959	Magnoliopsida	Plantae	6	220
3686235	Staphylea pinnata	1948	2018	Magnoliopsida	Plantae	6	220
3190538	Rhus typhina	1898	2018	Magnoliopsida	Plantae	6	220
3190382	Ruta graveolens	1881	2018	Magnoliopsida	Plantae	6	220
3988701	Lythrum junceum	1926	2017	Magnoliopsida	Plantae	6	220
5203111	Umbra pygmaea	1920	2018	Actinopterygii	Animalia	1	204
3188757	Trapa natans	1800	1991	Magnoliopsida	Plantae	6	220
8994150	Oenothera parviflora	1884	2000	Magnoliopsida	Plantae	6	220
8153538	Oenothera oehlkersii	1884	2017	Magnoliopsida	Plantae	6	220
6427797	Oenothera canovirens	1901	2017	Magnoliopsida	Plantae	6	220
2382155	Sander lucioperca	1890	2018	Actinopterygii	Animalia	1	204
7322773	Oenothera deflexa	1915	2018	Magnoliopsida	Plantae	6	220
2394486	Lepomis gibbosus	1885	2018	Actinopterygii	Animalia	1	204
7322529	Oenothera rubricaulis	1887	2018	Magnoliopsida	Plantae	6	220
3188830	Oenothera stricta	1878	2017	Magnoliopsida	Plantae	6	220
3188884	Oenothera oakesiana	1867	1923	Magnoliopsida	Plantae	6	220
3188924	Oenothera biennis	1792	2018	Magnoliopsida	Plantae	6	220
3188894	Oenothera glazioviana	1868	2018	Magnoliopsida	Plantae	6	220
5202520	Ictalurus punctatus	1884	2018	Actinopterygii	Animalia	1	204
2340977	Ameiurus melas	1892	2017	Actinopterygii	Animalia	1	204
2340989	Ameiurus nebulosus	1871	2018	Actinopterygii	Animalia	1	204
5204019	Oncorhynchus mykiss	1884	2018	Actinopterygii	Animalia	1	204
4286975	Cyprinus carpio	1201	2018	Actinopterygii	Animalia	1	204
4286942	Carassius auratus	1601	2018	Actinopterygii	Animalia	1	204
2366634	Carassius gibelio	1601	2018	Actinopterygii	Animalia	1	204
2362881	Leucaspius delineatus	1910	2017	Actinopterygii	Animalia	1	204
5777912	Lithoglyphus naticoides	1924	2016	Gastropoda	Animalia	1	225
5410480	Campanula rhomboidalis	1949	2018	Magnoliopsida	Plantae	6	220
5411408	Campanula latifolia	1869	2018	Magnoliopsida	Plantae	6	220
5192470	Potamopyrgus antipodarum	1927	2016	Gastropoda	Animalia	1	225
5192789	Crepidula fornicata	1911	2016	Gastropoda	Animalia	1	225
5409120	Lobelia siphilitica	1934	2015	Magnoliopsida	Plantae	6	220
5408087	Lobelia erinus	1925	2018	Magnoliopsida	Plantae	6	220
3138230	Carthamus lanatus	1940	2018	Magnoliopsida	Plantae	6	220
5189806	Physella acuta	1869	2016	Gastropoda	Animalia	1	225
7403263	Lactuca sativa	1857	2018	Magnoliopsida	Plantae	6	220
